gaia_dr3_id,log_bf_PR,log_bf_PR_std,period,period_std,ra,dec,bp_rp,mean_mag_g_fov,quaia_unwise_id,CatNorth_CATWISE2020_id,CatNorth_PS1_id,AllWISE,AllWISE_R90_id,AllWISE_C75_id,Milliquas_v65_id,SDSS_DR14Q_id,LQAC_v5,Gaia_unWISE_id
612576067144170496,3.2244346235761077,1.655924957871779,381.61703755048455,6.188401662131372,146.13508786857412,10.277507526449732,0.5831795,20.39458,1461p106o0006872,1461p106_b0-024254,120331461352173494,,,J094432.43+101638.8,SDSS J094432.42+101638.9,,,1461p106o0006872
4422599945782956160,3.367889342075584,1.968801514686924,506.3846196351105,9.078681182893087,236.65806132940028,0.7541081331100631,0.4041977,18.203508,2359p000o0029263,2359p000_b0-001955,108902366580725381,,,,SDSS J154637.93+004514.8,,,2359p000o0029263
4423913037543949696,3.7709509533340486,2.2253642113388192,510.12488790102145,8.20413565095057,235.4148192331941,2.5710499193331673,0.5973358,19.23523,2359p030o0005776,2359p030_b0-010343,111082354148205808,,J154139.55+023415.5,J154139.55+023415.5,SDSS J154139.55+023415.7,154139.55+023415.7,LQAC_235+002_007,2359p030o0005776
1357790791791640576,4.461407758481613,2.7564615198828437,468.6894445417822,8.042755881974706,251.08999873094115,44.32771064706381,0.2799816,20.505302,,2517p439_b0-008920,161192510900003940,J164421.55+441939.6,J164421.55+441939.6,J164421.55+441939.6,SDSS J164421.60+441939.7,,,2517p439o0028010
623172266859487744,3.9004306703100227,2.3278494939753402,492.6663068511265,8.055831634405104,150.3781579729017,17.942958568566105,0.30161095,20.227526,1506p181o0007528,1506p181_b0-003772,129531503781732065,,J100130.75+175635.2,J100130.75+175635.2,SDSS J100130.75+175634.5,,,1506p181o0007528
4562525925837665024,3.5117356847878898,1.6896054083287901,372.4371491317957,4.908409737737822,249.2399909730888,18.289173337085114,0.5648155,19.909433,2489p181o0019219,2489p181_b0-019691,129942492399857569,,,J163657.60+181721.3,SDSS J163657.59+181721.1,,,2489p181o0019219
4610127426335523328,3.0944123057525794,1.3926639237399852,598.6538794361851,15.38073739521309,271.2333824499614,38.38545113123317,0.5454273,20.428638,2709p378o0044921,2709p378_b0-024191,154062712334313167,,J180456.04+382307.5,J180456.04+382307.5,,,,2709p378o0044921
4638165488245720960,3.338575054003217,1.5494011191029242,554.5757763697732,14.779362261260346,27.28426141941646,-74.9570802925034,0.59980583,20.45993,0290m758o0035908,,,J014908.39-745725.3,,,,,,
638093326843024128,3.0972421520173543,1.0839640729737288,571.7163690730653,24.217951818927453,142.60719780905418,22.39323419696653,0.52194595,20.385666,1433p227o0007145,1433p227_b0-012517,134871426072402344,,J093025.68+222335.8,J093025.68+222335.8,SDSS J093025.72+222335.5,,,1433p227o0007145
4668610351034498944,4.056180759058808,2.533787007930687,655.8569558117996,12.062454774494475,65.74078823640004,-67.04090202159598,0.69615364,20.251574,0668m667o0009578,,,J042257.77-670227.3,,,WISEA J042257.77-670227.3,,,
4679313302160498048,3.441738171669473,1.7825732678470907,528.8766667779405,16.420714201745128,59.383022283036894,-62.88505010285148,1.1989956,20.642117,,,,J035731.94-625306.2,J035731.94-625306.2,J035731.94-625306.2,,,,0594m637o0037313
643899916468517632,3.4849978929354237,1.195417946648278,537.647358996994,16.55551162353959,148.88421251638698,26.37842729160547,0.70957375,20.61763,,1483p257_b0-007130,139651488842224680,,J095532.21+262242.3,J095532.21+262242.3,SDSS J095532.21+262242.3,,,1483p257o0020438
4698097496248861952,3.2963004400310867,1.4952853415974339,557.9579474453452,14.565679151768249,32.76316790901531,-65.79077198753794,0.62384605,17.76674,0314m652o0002213,,,J021103.15-654726.7,J021103.15-654726.7,J021103.15-654726.7,WISEA J021103.15-654726.7,,,0314m652o0002213
1367426946056723328,3.200621042391395,0.9531599807325692,476.82459716350843,11.61429103696959,266.95191113218095,50.1156411685048,0.75694275,20.660185,,2670p499_b0-025916,168132669518689453,,,J174748.41+500656.4,SDSS J174748.47+500656.6,,,2670p499o0024167
4717620566444896000,3.1459555110291535,1.6522976375563885,467.56417249067243,13.778653387114135,27.23765702510288,-59.46997278989906,0.8162155,20.43747,0259m591o0006979,,,,J014857.05-592811.8,J014857.05-592811.8,,,,0259m591o0006979
4727739200156730112,3.4415462874933707,1.693822144129571,517.5645903452731,9.28159221461187,42.49478791030495,-58.122044381856696,0.5575142,20.338633,0415m576o0040636,,,,,,,,,0415m576o0040636
664913988857080320,3.283145252658983,1.9141496966096432,303.709407325882,4.641748432393569,131.1165111410392,21.652976242402072,1.1324215,19.906878,1307p212o0018156,1307p212_b0-002753,133981311164824132,,J084427.96+213910.9,,,,,1307p212o0018156
4848165204054990208,3.59454450831126,1.6155547969617143,571.6030446297754,15.505878598569621,54.20131158972796,-44.43058769520135,0.51026154,20.011251,0541m440o0005700,,,,J033648.26-442550.2,J033648.26-442550.2,,,,0541m440o0005700
4857840077449572480,3.308207495464131,1.671222144901864,314.1631332982754,6.344600720688015,61.225951933578635,-36.202371784357055,0.5421696,20.656088,,,,,,,,,,0615m364o0016846
4912961898180018176,3.570493197391715,1.9512849658177944,544.5640319576504,15.209681881629443,26.231814010369877,-53.48173596998621,0.45727348,20.60467,,,,,J014455.63-532854.0,J014455.63-532854.0,,,,0271m531o0005699
4926410574657104640,3.412547075272404,1.6660542488463443,611.9598403718409,16.956555968367198,11.149915733635046,-50.81044041675703,0.5276909,20.705984,,,,,,J004435.96-504837.6,,,,0119m515o0026625
4939085809124005888,3.2583578052213107,1.4211933217861645,382.52800550357654,8.161907810483923,36.74058998656418,-48.27588578323383,0.51174545,19.891201,0359m485o0018987,,,J022657.76-481632.8,J022657.76-481632.8,J022657.76-481632.8,WISEA J022657.76-481632.8,,,0359m485o0018987
4968129546210583040,3.6728068666397826,1.2290468639573262,503.89368314604127,7.8917793135915115,31.811745630707254,-36.318499648888405,0.41339874,20.553886,,,,,J020714.81-361906.0,J020714.81-361906.0,,,,0317m364o0014473
