# Id, RA, Dec, z, mag, period, logmbh, r, t_insp, dt_gw
SDSS_J113916.47+254412.6,11 39 16.4,+25 44 13.0,1.012,17.61,2439,9.16,0.012,1.9e+04,2.56
SDSS_J114438.34+262609.4,11 44 38.3,+26 26 10.1,0.974,18.39,1315,9.38,0.010,1.7e+03,4.88
SDSS_J114749.70+163106.7,11 47 49.7,+16 31 06.8,0.554,18.78,1449,8.22,0.005,3.5e+05,0.08
SDSS_J114857.33+160023.1,11 48 57.4,+16 00 22.7,1.224,18.14,1851,9.90,0.017,4.1e+02,37.61
SDSS_J115141.81+142156.6,11 51 41.8,+14 21 57.0,1.002,18.11,1492,9.11,0.009,6.3e+03,1.82
SDSS_J115346.39+241829.4,11 53 46.4,+24 18 29.8,0.753,18.41,1666,8.97,0.009,2.1e+04,1.25
SDSS_J121018.34+015405.9,12 10 18.3,+01 54 06.2,0.216,16.90,1612,8.54,0.008,2.6e+05,0.56
SDSS_J121018.66+185726.0,12 10 18.7,+18 57 27.0,1.516,17.42,1754,9.53,0.011,1.1e+03,8.37
SDSS_J121056.83+231912.5,12 10 56.8,+23 19 13.0,1.260,18.47,1785,8.78,0.007,2.7e+04,0.49
SDSS_J121457.39+132024.3,12 14 57.4,+13 20 24.5,1.494,18.59,1923,9.46,0.011,1.8e+03,6.61
SDSS_J123147.27+101705.3,12 31 47.3,+10 17 05.4,1.733,18.83,1851,9.20,0.009,3.5e+03,2.32
SDSS_J123821.84+030024.2,12 38 21.8,+03 00 24.6,0.380,18.46,1250,8.92,0.008,2.2e+04,1.42
SDSS_J124044.49+231045.8,12 40 44.5,+23 10 46.1,0.722,18.40,1428,8.94,0.008,1.6e+04,1.08
SDSS_J124119.04+203452.7,12 41 19.0,+20 34 53.4,1.492,18.44,1219,9.40,0.008,6.8e+02,4.54
SDSS_J124157.90+130104.1,12 41 57.9,+13 01 04.7,1.227,18.83,1538,8.95,0.007,9.4e+03,0.93
PGC_3096192,12 50 29.0,+06 36 11.1,0.133,16.93,1562,7.06,0.003,8.5e+07,0.00
SDSS_J125414.23+131348.1,12 54 14.2,+13 13 48.4,0.655,18.11,1754,8.94,0.009,3.2e+04,1.20
SDSS_J130040.62+172758.4,13 00 40.6,+17 27 58.5,0.863,19.26,1818,8.88,0.008,3.2e+04,0.84
BZQJ1305-1033,13 05 33.0,--10 33 19.1,0.286,14.99,1694,8.50,0.008,3e+05,0.39
SNU_J13120+0641,13 12 04.7,+06 41 07.6,0.242,15.82,1492,9.14,0.012,2e+04,5.07
SDSS_J131706.19+271416.7,13 17 06.2,+27 14 16.7,2.672,17.83,1666,9.92,0.011,77,33.85
SDSS_J131909.08+090814.7,13 19 09.1,+09 08 15.1,0.882,18.01,1298,8.67,0.006,2.8e+04,0.34
SDSS_J132103.41+123748.2,13 21 03.4,+12 37 48.1,0.687,18.62,1538,8.91,0.008,2.4e+04,0.99
SDSS_J133127.31+182416.9,13 31 27.3,+18 24 17.1,0.938,17.44,1639,9.39,0.011,3e+03,5.61
SDSS_J133516.17+183341.4,13 35 16.1,+18 33 41.8,1.192,17.75,1724,9.76,0.015,6e+02,21.67
SDSS_J133631.45+175613.8,13 36 31.4,+17 56 14.1,0.421,18.20,1562,9.03,0.010,2.4e+04,2.19
SDSS_J133654.44+171040.3,13 36 54.4,+17 10 40.8,1.231,17.96,1408,9.24,0.008,2.5e+03,2.68
SDSS_J133807.69+360220.3,13 38 07.7,+36 02 20.3,1.196,18.44,1960,9.14,0.010,9.1e+03,2.09
SDSS_J134820.42+194831.5,13 48 20.4,+19 48 31.9,0.594,18.34,1388,7.63,0.003,2.8e+06,0.01
SDSS_J134855.27-032141.4,13 48 55.3,--3 21 41.4,2.099,17.19,1428,9.89,0.011,87,29.98
SDSS_J135225.80+132853.2,13 52 25.8,+13 28 53.3,0.402,16.44,1754,8.75,0.009,1e+05,0.81
SDSS_J140600.26+013252.2,14 06 00.3,+01 32 52.4,0.454,18.00,2000,8.41,0.007,4.7e+05,0.21
SDSS_J140704.43+273556.6,14 07 04.5,+27 35 56.3,2.222,17.32,1562,9.94,0.012,84,36.30
HE_1408-1003,14 10 40.3,--10 17 29.7,0.882,17.01,1923,0.00,0.000,0,0.00
SDSS_J141425.92+171811.2,14 14 25.9,+17 18 11.6,0.409,18.33,1785,8.59,0.008,1.9e+05,0.43
3C_298.0,14 19 08.2,+06 28 35.1,1.437,16.53,1960,9.57,0.013,1.3e+03,10.45
SDSS_J142301.96+101500.1,14 23 02.0,+10 15 00.0,1.052,17.96,1234,9.46,0.010,9.5e+02,6.29
SDSS_J143621.29+072720.8,14 36 21.3,+07 27 21.1,0.889,17.07,1886,9.03,0.010,1.9e+04,1.50
SDSS_J143820.60+055447.9,14 38 20.6,+05 54 48.1,0.614,18.71,1851,8.19,0.006,6.9e+05,0.07
SDSS_J144754.62+132610.0,14 47 54.6,+13 26 10.4,0.572,18.39,1960,8.58,0.008,1.9e+05,0.35
SDSS_J144755.57+100040.0,14 47 55.6,+10 00 40.4,0.678,17.65,0862,8.93,0.006,4.7e+03,0.90
SDSS_J150450.16+012215.5,15 04 50.2,+01 22 15.8,0.967,17.75,1724,9.20,0.010,7e+03,2.70
QNZ3:54,15 18 06.6,+01 31 34.9,1.402,18.64,1724,9.27,0.009,3.1e+03,3.17
SDSS_J152035.23+095925.2,15 20 35.2,+09 59 25.7,1.049,18.88,1204,9.12,0.007,3.3e+03,1.70
SDSS_J152157.02+181018.6,15 21 57.0,+18 10 19.2,0.731,18.23,1960,7.95,0.005,1.6e+06,0.03
SDSS_J153636.22+044127.0,15 36 36.2,+04 41 26.9,0.379,16.75,1111,8.82,0.007,2.4e+04,0.94
SDSS_J154409.61+024040.0,15 44 09.6,+02 40 39.8,0.964,18.72,2000,8.76,0.008,5.5e+04,0.53
SDSS_J155449.11+084204.8,15 54 49.1,+08 42 05.4,0.786,17.03,1562,8.85,0.008,2.6e+04,0.76
SDSS_J155647.78+181531.5,15 56 47.8,+18 15 32.1,1.502,18.79,1428,9.51,0.010,6.7e+02,7.24
SDSS_J160730.33+144904.3,16 07 30.3,+14 49 04.2,1.800,17.57,1724,9.82,0.013,2.5e+02,24.58
SDSS_J161013.67+311756.4,16 10 13.7,+31 17 56.6,0.245,17.19,1724,7.92,0.005,3.2e+06,0.05
